"coef" "pine" "spruce" "decid"
"Intercept" 4.1505 9.6649 3.6655
"d_sqrt" 3.1513 1.0157 1.065
"d" -0.3575 -0.1577 -0.1509
"BALt_persqerdplus1" -0.4001 0 0
"BALp_persqrtdplus1" 0 0 -0.0326
"BALs_persqrtdplus1" 0 -0.3244 0
"BALsd_persqrtdplus1" 0 0 -0.2768
"Peat" -0.3813 -0.7366 -0.3884
"Aspen" 0 0 -0.0562
"Birch" 0 0 1.078
